subject,timing,session,run,trial,target,response,correct,pulse_count,trial_dur,wait_pre_stim
S1,shorter,1,10,13,1,1,True,2,4.09057882832,1.21239235119
S1,shorter,1,10,14,0,0,True,2,5.411286473660001,1.65355034148
S1,shorter,1,10,15,1,1,True,2,4.1433694254,1.19729808273
S1,shorter,1,10,16,0,0,True,2,4.6625122031599995,1.7847939301900002
S1,shorter,1,10,17,1,1,True,1,4.73026033785,3.32773806168
S1,shorter,1,10,18,0,1,False,1,3.6256453890099998,1.24829321722
S1,shorter,1,10,19,0,1,False,1,3.64004806821,1.1545587593000002
S1,shorter,1,10,20,1,1,True,5,11.7148048093,3.15777474643
S1,shorter,1,10,21,0,0,True,2,6.920007168730001,1.20960348564
S1,shorter,1,10,22,1,1,True,5,10.32734133493,1.37831986815
S1,shorter,1,10,23,0,0,True,1,5.565385504500001,2.38478851863
S1,shorter,1,10,24,0,0,True,3,9.541420386619999,2.62853577499
S1,shorter,1,10,25,0,0,True,1,4.430322321219999,1.2518376854200002
S1,shorter,1,10,26,0,0,True,1,4.44544783882,1.80428351263
S1,shorter,1,10,27,1,1,True,3,9.1073677146,1.16317144299
S1,shorter,1,10,28,0,0,True,2,5.759067076880001,2.23701614562
S1,shorter,1,10,29,0,0,True,1,6.7813301387400005,2.85230524024
S1,shorter,1,10,30,1,1,True,2,6.369570402760002,1.42565586365
S1,shorter,1,10,31,1,1,True,4,9.026564089639999,1.63091551935
S1,shorter,1,10,32,1,1,True,1,2.68706928494,1.08400837859
S1,shorter,1,10,33,1,1,True,1,4.27727834539,1.05095608652
S1,shorter,1,10,34,0,1,False,3,7.426737311719999,2.3526607023
S1,shorter,1,10,35,1,1,True,3,6.444263756380002,1.9031174148900003
S1,shorter,1,10,36,0,0,True,1,2.5967989225099997,1.09850959539
S1,shorter,1,11,1,1,0,False,1,4.3601773792700005,1.84373448279
S1,shorter,1,11,2,0,0,True,5,13.216668158629998,1.47085902753
S1,shorter,1,11,3,1,1,True,1,3.1131181475400003,1.08750188122
S1,shorter,1,11,4,0,1,False,2,6.10271713024,1.31940261826
S1,shorter,1,11,5,1,0,False,1,2.8130133182100003,1.5115320427
S1,shorter,1,11,6,1,1,True,4,11.388664170799998,2.74905163838
S1,shorter,1,11,7,0,0,True,3,10.20063903862,3.85826345941
S1,shorter,1,11,8,1,1,True,3,6.62309496094,2.37278748707
S1,shorter,1,11,9,1,0,False,5,14.48799633018,1.94208621988
S1,shorter,1,11,10,0,0,True,2,5.7988356163,1.28304612737
S1,shorter,1,11,11,1,1,True,2,5.96796649108,2.59878351945
S1,shorter,1,11,12,0,1,False,2,5.5350976111999985,2.1345842129
S1,shorter,1,11,14,1,1,True,1,5.11604213127,2.41234175814
S1,shorter,1,11,15,1,1,True,5,13.45029372201,1.47574376571
S1,shorter,1,11,16,0,0,True,4,8.87185083652,2.72667038366
S1,shorter,1,11,17,0,1,False,1,3.0932681956600003,1.10098211171
S1,shorter,1,11,18,1,1,True,5,11.832278468210001,2.4014124829
S1,shorter,1,11,19,0,0,True,3,9.81954913278,3.1018356290400004
S1,shorter,1,11,20,0,0,True,2,5.344660919080001,2.44897559638
S1,shorter,1,11,21,1,0,False,3,7.104950188349999,1.25568501798
S1,shorter,1,11,22,0,0,True,2,5.94965463849,1.9263434938900004
S1,shorter,1,11,23,1,1,True,4,10.72454683506,2.07760876036
S1,shorter,1,11,24,0,0,True,4,11.47448658078,1.21933171988
S1,shorter,1,11,25,1,1,True,2,7.673332811739999,1.19613115474
